timestamp,nodes,messages,lookups,avg_lookup_ms
1763753197,1,3,2,50.00
1763753227,1,6,5,50.00
1763753257,1,8,7,50.00
1763753287,1,12,11,50.00
1763753317,1,14,13,50.00
1763753347,1,17,16,50.00
1763753377,1,20,19,50.00
1763753407,1,24,23,50.00
1763753437,1,27,26,50.00
1763753467,1,30,29,50.00
1763753497,1,32,31,50.00
1763753527,1,36,35,50.00
1763753557,1,38,37,50.00
1763753587,1,41,40,50.00
1763753617,1,45,44,50.00
1763753647,1,47,46,50.00
1763753677,1,50,49,50.00
1763753707,1,53,52,50.00
1763753737,1,56,55,50.00
1763753767,1,59,58,50.00
1763753797,1,62,61,50.00
1763753827,1,66,65,50.00
1763753857,1,68,67,50.00
1763753887,1,71,70,50.00
1763753903,1,73,72,50.00
1763753903,1,73,72,0.00
